"","PP","IN.M","IN.SD","IN.C.M","IN.C.SD","IN.I.M","IN.I.SD","DU.M","DU.SD","DU.C.M","DU.C.SD","DU.I.M","DU.I.SD","DI.M","DI.SD","DI.C.M","DI.C.SD","DI.I.M","DI.I.SD","DIFF.IN.DU.M","DIFF.DU.DI.M","DIFF.IN.DU.SD","DIFF.DU.DI.SD","DIFF.IN.DU.C.M","DIFF.DU.DI.C.M","DIFF.IN.DU.C.SD","DIFF.DU.DI.C.SD","DIFF.IN.DU.I.M","DIFF.DU.DI.I.M","DIFF.IN.DU.I.SD","DIFF.DU.DI.I.SD"
"1","001",85.4114583333333,49.0376762296984,81.65625,52.7426379247678,89.1666666666667,44.9934888076899,84.6187845303867,47.3469872403371,66.1348314606742,45.5494713598792,102.5,42.0767221804473,81.4534161490683,45.0951702389733,70.9868421052632,47.0005655061164,90.8117647058824,41.3928605868576,0.792673802946595,3.16536838131842,1.69068898936124,2.2518170013638,15.5214185393258,-4.852010644589,7.19316656488865,-1.4510941462372,-13.3333333333333,11.6882352941176,2.91676662724259,0.683861593589789
"2","002",87.7222222222222,45.6214758253901,78.8555555555556,48.7517354600023,96.5888888888889,40.6237586000668,79.8397790055249,42.0137777395807,66.6179775280899,44.6706395384286,92.6304347826087,35.0066610274731,74.8385093167702,42.3569505248427,62.25,44.7461357735689,86.0941176470588,36.8522221108823,7.88244321669737,5.00126968875468,3.60769808580937,-0.343172785261991,12.2375780274657,4.36797752808988,4.08109592157377,-0.0754962351403918,3.95845410628019,6.53631713554988,5.61709757259375,-1.84556108340924
"3","003",69.0315789473684,40.5107478407327,64.5473684210526,42.7117424735725,73.5157894736842,37.8782661418478,74.0446927374302,42.9178495682433,72.2637362637363,42.9792805805141,75.8863636363636,43.0221626441407,78.437125748503,46.2651531555683,71.9186046511628,47.814153729347,85.358024691358,43.7973482764583,-5.01311379006175,-4.39243301107282,-2.40710172751063,-3.34730358732496,-7.71636784268362,0.345131612573468,-0.267538106941608,-4.83487314883284,-2.37057416267943,-9.47166105499439,-5.14389650229285,-0.775185632317609
"4","004",93.6096256684492,49.1996428146072,87.4479166666667,51.8203109522992,100.10989010989,45.6599631453228,80.4525139664805,41.3677903775766,70.8901098901099,42.8349417465722,90.3409090909091,37.5315610829735,80.5209580838323,43.751604214768,66.9767441860465,47.2766518034595,94.9012345679012,34.5052912385447,13.1571117019687,-0.0684441173518877,7.8318524370306,-2.38381383719138,16.5578067765568,3.91336570406337,8.98536920572701,-4.44171005688733,9.76898101898102,-4.56032547699215,8.12840206234924,3.02626984442883
"5","005",71.8952879581152,40.6736631300482,68.1368421052632,46.011471864233,75.6145833333333,34.4357127326197,61.3279569892473,34.5804971298779,55.7173913043478,37.8418705503084,66.8191489361702,30.2644128166874,69.2021276595745,38.2305362137673,63.1052631578947,40.524873812714,75.4301075268817,34.8604041763164,10.5673309688679,-7.87417067032716,6.09316600017035,-3.65003908388942,12.4194508009153,-7.38787185354691,8.16960131392458,-2.68300326240563,8.79543439716312,-8.61095859071152,4.17129991593238,-4.59599135962905
"6","006",67.8835978835979,40.1770972624104,56.1382978723404,40.3907263560119,79.5052631578947,36.6045206149635,67.3763440860215,37.2583134865139,60.304347826087,37.8695676858457,74.2978723404255,35.5003649192918,67.9414893617021,35.2100159230204,59.6736842105263,36.8205660921451,76.3870967741936,31.496042628595,0.507253797576382,-0.565145275680621,2.91878377589652,2.04829756349348,-4.16604995374653,0.630663615560636,2.52115867016612,1.04900159370066,5.2073908174692,-2.08922443376802,1.10415569567171,4.00432229069681
