ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display1.RefreshRate,Display2.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,Procedure[Block],Running[Block],Trial,BlockList2,BlockList2.Cycle,BlockList2.Sample,BlockList4,BlockList4.Cycle,BlockList4.Sample,Procedure[Trial],Running[Trial],SubTrial,CM1PracTrails1,CM1PracTrails1.Cycle,CM1PracTrails1.Sample,CM1Trails,CM1Trails.Cycle,CM1Trails.Sample,CM2PracTrials,CM2PracTrials.Cycle,CM2PracTrials.Sample,CM2Trials,CM2Trials.Cycle,CM2Trials.Sample,CorrectSubj1,CorrectSubj2,Procedure[SubTrial],Running[SubTrial],Screen1_Obj_Colour,Screen2_Obj_Colour,Screen_1_Obj_Pos,Screen_2_Obj_Pos,Subject1ACC,Subject1RESP,Subject1RT,Subject2ACC,Subject2RESP,Subject2RT
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,1,15,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,e,w,TrialProc2,CM1PracTrails1,blue,red,w,e,1,e,1009,1,w,479
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,2,8,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,w,e,TrialProc2,CM1PracTrails1,red,blue,e,w,1,w,341,1,e,492
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,3,12,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,w,e,TrialProc2,CM1PracTrails1,red,blue,w,e,1,w,639,1,e,369
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,4,3,2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,e,w,TrialProc2,CM1PracTrails1,blue,red,e,w,1,e,530,1,w,335
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,5,11,2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,e,w,TrialProc2,CM1PracTrails1,blue,red,e,w,1,e,515,1,w,349
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,6,1,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,e,e,TrialProc2,CM1PracTrails1,blue,blue,e,e,1,e,370,1,e,339
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,7,16,2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,w,e,TrialProc2,CM1PracTrails1,red,blue,e,w,1,w,497,1,e,419
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,8,14,2,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,w,w,TrialProc2,CM1PracTrails1,red,red,e,e,1,w,516,1,w,576
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,9,2,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,w,w,TrialProc2,CM1PracTrails1,red,red,w,w,1,w,352,1,w,441
DualSimon,1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">10525532348</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-09T11:47:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",DualSimon-001002-1,59.955,59.955,1.0.0.505,1,1936161497,Professional,2.0.10.353,2.0.10.353,10/09/2017,09/10/2017 11:47,12:47:04,2.0.10.248,1,1,1,1,CM1,List1,1,NULL,NULL,NULL,1,1,1,CM1Prac,BlockList4,10,4,2,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,w,e,TrialProc2,CM1PracTrails1,red,blue,w,e,1,w,434,1,e,337
