ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display1.RefreshRate,Display2.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,Procedure[Block],Running[Block],Trial,BlockList1,BlockList1.Cycle,BlockList1.Sample,BlockList2,BlockList2.Cycle,BlockList2.Sample,Procedure[Trial],Running[Trial],SubTrial,b1trails1,b1trails1.Cycle,b1trails1.Sample,CorrectSubj1,List2,List2.Cycle,List2.Sample,PracTrials1,PracTrials1.Cycle,PracTrials1.Sample,PracTrials2,PracTrials2.Cycle,PracTrials2.Sample,Procedure[SubTrial],Running[SubTrial],Screen1_Obj_Colour,Screen_1_Obj_Pos,Subject1ACC,Subject1RESP,Subject1RT
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,1,NULL,NULL,NULL,w,NULL,NULL,NULL,7,2,1,NULL,NULL,NULL,TrialProc47,PracTrials1,red,w,1,w,1420
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,2,NULL,NULL,NULL,w,NULL,NULL,NULL,8,2,2,NULL,NULL,NULL,TrialProc47,PracTrials1,red,e,1,w,640
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,3,NULL,NULL,NULL,w,NULL,NULL,NULL,4,2,3,NULL,NULL,NULL,TrialProc47,PracTrials1,red,e,1,w,591
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,4,NULL,NULL,NULL,w,NULL,NULL,NULL,15,2,4,NULL,NULL,NULL,TrialProc47,PracTrials1,red,w,1,w,454
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,5,NULL,NULL,NULL,e,NULL,NULL,NULL,6,2,5,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,w,1,e,450
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,6,NULL,NULL,NULL,e,NULL,NULL,NULL,9,2,6,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,e,1,e,502
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,7,NULL,NULL,NULL,e,NULL,NULL,NULL,13,2,7,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,e,1,e,414
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,8,NULL,NULL,NULL,e,NULL,NULL,NULL,5,2,8,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,e,1,e,375
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,9,NULL,NULL,NULL,w,NULL,NULL,NULL,16,2,9,NULL,NULL,NULL,TrialProc47,PracTrials1,red,e,1,w,519
Individual,6,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923154</Frequency><Timestamp dt:dt=""r8"">759744201314</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-12T10:59:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Individual-006-1,59.955,?,1.0.0.483,1,-464453488,Professional,2.0.10.353,2.0.10.353,10/12/2017,12/10/2017 10:59,11:59:10,2.0.10.248,1,1,1,1,M1,List1,1,1,1,1,NULL,NULL,NULL,Prac1,BlockList1,10,NULL,NULL,NULL,e,NULL,NULL,NULL,2,2,10,NULL,NULL,NULL,TrialProc47,PracTrials1,blue,w,1,e,429
